 Ver5.0 position,Systematic ID,Gene ,Gene description,Ver5.0 strain (vs M-2030H-U5),Ver5.0 strain (vs M-3030H-U5),Ver5.0 strain (vs M-4030H-U5),ade type,,Plate/well position,,,,,,,,,,,,,
V5-P02-63,SPBCPT2R1.02,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-64,SPBCPT2R1.08c,tlh2,RecQ type DNA helicase Tlh1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-65,SPBP22H7.08,rps1002,40S ribosomal protein S10,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-66,SPBP4H10.08,qcr10,ubiquinol-cytochrome-c reductase complex subunit Qcr10,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-67,SPBP4H10.12,0,conserved protein (fungal and bacterial),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-68,SPBP8B7.22,erd2,HDEL receptor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-69,SPBP8B7.26,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-70,SPBP8B7.31,0,acid phosphatase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-71,SPBPB2B2.02,mug180,esterase/lipase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-72,SPBPB7E8.02,0,conserved protein (fungal bacterial protazoan),ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-73,SPBPB8B6.04c,grt1,transcription factor Grt1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-74,SPBPB8B6.05c,0,L-asparaginase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-75,SPBPJ4664.02,0,glycoprotein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-76,SPCC1183.10,wtf10,wtf element Wtf10,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-77,SPCC1223.15c,spc19,DASH complex subunit Spc19,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-78,SPCC1259.04,0,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-79,SPCC1682.01,qcr9,ubiquinol-cytochrome-c reductase complex subunit 10,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-80,SPCC16C4.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-81,SPCC16C4.11,pef1,Pho85/PhoA-like cyclin-dependent kinase Pef1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-82,SPCC24B10.17,emp24,COPII-coated vesicle component Emp24,ver 2.0 to 5.0 New strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-83,SPCC24B10.18,0,human Leydig cell tumor 10 kDa protein homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-84,SPCC31H12.03c,0,transcriptional regulator,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-85,SPCC576.01c,0,sulfonate dioxygenase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-86,SPCC74.05,rpl2702,60S ribosomal protein L27,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-87,SPCC794.15,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-88,SPAC1093.06c,dhc1,dynein heavy chain,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-89,SPAC1006.06,rgf2,RhoGEF Rgf2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-90,SPAC1039.05c,klf1,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-91,SPAC1071.02,0,TFIIH regulator,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-92,SPAC1071.08,rpp203,60S acidic ribosomal protein P2C subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-93,SPAC10F6.04,0,RCC domain protein Ats1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-94,SPAC10F6.06,vip1,RNA-binding protein Vip1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P02-95,SPAC10F6.16,mug134,endosulphine family protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P02-96,SPAC1142.03c,swi2,Swi5 complex subunit Swi2,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-01,SPAC1142.08,fhl1,fork head transcription factor Fhl1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-02,SPAC11D3.07c,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-04,SPAC11D3.17,0,zinc finger protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-05,SPAC11D3.18c,0,nicotinic acid plasma membrane transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-06,SPAC11E3.01c,swr1,SNF2 family helicase Swr1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-07,SPAC11E3.09,pyp3,protein-tyrosine phosphatase Pyp3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-08,SPAC11G7.02,pub1,ubiquitin-protein ligase E3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-09,SPAC11H11.04,mam2,pheromone p-factor receptor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-10,SPAC1250.05,rpl3002,60S ribosomal protein L30,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-11,SPAC12B10.07,acp1,F-actin capping protein alpha subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-12,SPAC12B10.09,0,S-adenosylmethionine transporter,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-13,SPAC12G12.01c,0,ubiquitin-protein ligase E3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-14,SPAC12G12.07c,0,conserved fungal protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-15,SPAC12G12.12,0,NST UDP-galactose transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-16,SPAC139.04c,fap2,L-saccharopine oxidase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-17,SPAC13C5.03,tht1,nuclear membrane protein involved in karyogamy,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-18,SPAC13C5.07,rad32,Rad32 nuclease,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-19,SPAC13D6.03c,0,tRNA (uridine) methyltransferase Trm9,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-20,SPAC13G6.09,0,zf-MYND type,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-21,SPAC144.02,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-22,SPAC144.05,0,ATP-dependent DNA helicase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-23,SPAC1486.04c,alm1,medial ring protein Alm1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-24,SPAC14C4.05c,mug61,Sad1 interacting factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-25,SPAC1556.03,azr1,serine/threonine protein phosphatase Azr1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-26,SPAC1565.07c,0,TATA binding protein interacting protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-27,SPAC15A10.06,0,CPA1 sodium ion/proton antiporter,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-28,SPAC15A10.10,mde6,Muskelin homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-29,SPAC15A10.11,ubr11,N-end-recognizing protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-30,SPAC15A10.16,bud6,actin interacting protein 3 homolog Bud6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-31,SPAC1610.03c,crp79,poly(A) binding protein Crp79,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-32,SPAC1635.01,0,voltage-dependent anion-selective channel,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-33,SPAC167.01,ppk4,serine/threonine protein kinase Ppk4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-34,SPAC167.07c,0,ubiquitin-protein ligase E3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-35,SPAC1687.05,pli1,SUMO E3 ligase Pli1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-36,SPAC1687.06c,rpl44,60S ribosomal protein L28/L44,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-37,SPAC1687.15,gsk3,serine/threonine protein kinase Gsk3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-38,SPAC16A10.02,0,transcription coactivator Sub1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-39,SPAC16C9.05,cph1,PHD finger containing protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-40,SPAC16C9.06c,upf1,ATP-dependent RNA helicase Upf1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-41,SPAC1705.02,0,human 4F5S homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-42,SPAC1782.01,0,proteasome component,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-43,SPAC1782.05,0,phosphotyrosyl phosphatase activator homolog,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-44,SPAC1782.06c,0,prohibitin Phb1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-45,SPAC17A2.05,osm1,fumerate reductase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-46,SPAC17A2.06c,vps8,WD repeat protein Vps8,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-47,SPAC17A2.12,0,ATP-dependent DNA helicase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-48,SPAC17A2.14,0,CorA family magnesium ion transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-49,SPAC17A5.01,pex6,peroxin-6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-50,SPAC17A5.11,rec12,endonuclease Rec12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-51,SPAC17C9.09c,tim13,TIM22 inner membrane protein import complex subunit Tim13,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-52,SPAC17D4.03c,cis4,membrane transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-53,SPAC17G6.02c,tco1,RTA1-like protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-54,SPAC17G6.05c,0,Rhophilin-2 homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-55,SPAC17G6.13,0,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-56,SPAC17G8.07,0,YEATS family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-57,SPAC17H9.08,0,mitochondrial coenzyme A transporter,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-58,SPAC17H9.11,0,cofilin/tropomyosin family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-59,SPAC17H9.14c,0,protein disulfide isomerase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-60,SPAC1805.02c,0,electron transfer flavoprotein beta subunit,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-61,SPAC1805.09c,fmt1,methionyl-tRNA formyltransferase Fmt1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-62,SPAC1805.12c,uep1,ribosomal-ubiquitin fusion protein Ubi2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-63,SPAC1834.03c,hhf1,histone H4 h4.1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-64,SPAC1834.05,alg9,mannosyltransferase complex subunit Alg9,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-65,SPAC1851.03,ckb1,CK2 family regulatory subunit,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-66,SPAC18B11.07c,rhp6,Rad6 homolog Rhp6,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-67,SPAC18G6.15,mal3,EB1 family Mal3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-68,SPAC1952.07,rad1,checkpoint clamp complex protein Rad1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-69,SPAC1952.16,rga9,"RhoGAp, GTPase activator towards Rho/Rac/Cdc42-like small GTPases",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-70,SPAC19A8.03,0,phosphatidylinositol-3-phosphatase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-71,SPAC19A8.04,erg5,C-22 sterol desaturase Erg5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-72,SPAC19A8.10,rfp1,ubiquitin-protein ligase E3,ver 2.0 to 5.0 upgraded strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-73,SPAC19B12.04,rps3001,40S ribosomal protein S30,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-74,SPAC19B12.07c,0,human ZNF277P homolog,ver 2.0 to 5.0 upgraded strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-75,SPAC19B12.08,0,peptidase family C54,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-76,SPAC19B12.10,sst2,human amsh protein homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-77,SPAC19B12.11c,0,zinc finger protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-78,SPAC1B2.04,cox6,cytochrome c oxidase subunit VI,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-79,SPAC1B3.04c,0,mitochondrial GTPase Guf1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-80,SPAC1B3.05,0,CCR4-Not complex subunit Not3/5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-81,SPAC1D4.13,byr1,MAP kinase kinase Byr1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-82,SPAC1F3.05,0,adaptin,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-83,SPAC1F3.06c,spo15,sporulation protein Spo15,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-84,SPAC1F7.11c,0,transcription factor,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-85,SPAC1F8.01,ght3,hexose transporter Ght3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-86,SPAC20G8.08c,fft1,fun thirty related protein Fft1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-87,SPAC20H4.02,0,conserved fungal protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-88,SPAC20H4.05c,0,adducin,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-89,SPAC20H4.10,ufd2,ubiquitin-protein ligase E4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-90,SPAC222.14c,0,GTP binding protein Sey1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-91,SPAC222.15,meu13,Tat binding protein 1(TBP-1)-interacting protein (TBPIP) homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-92,SPAC227.03c,0,mitochondrial NAD+ transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-93,SPAC227.10,0,prefoldin subunit 2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-94,SPAC22A12.14c,0,"BSD domain protein, unknown biological role",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P03-95,SPAC22E12.14c,sck2,serine/threonine protein kinase Sck2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P03-96,SPAC22F3.03c,rdh54,ATP-dependent DNA helicase Rdh54,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-01,SPAC22F3.06c,lon1,Lon protease homolog Lon1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-02,SPAC22F3.08c,rok1,ATP-dependent RNA helicase Rok1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-03,SPAC22F3.12c,rgs1,regulator of G-protein signaling Rgs1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-05,SPAC22F8.04,0,triose phosphate transporter,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-06,SPAC22F8.11,plc1,phosphoinositide phospholipase C Plc1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-07,SPAC22G7.02,kap111,karyopherin Kap111,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-08,SPAC22G7.06c,ura1,"carbamoyl-phosphate synthase (glutamine hydrolyzing), aspartate carbamoyltransferase Ura1",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-09,SPAC22G7.08,ppk8,serine/threonine protein kinase Ppk8,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-10,SPAC22H10.04,0,protein phosphatase type 2A,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-11,SPAC22H10.07,scd2,scaffold protein Scd2,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-12,SPAC22H10.09,0,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-13,SPAC23A1.04c,mnl1,alpha mannosidase-like protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-14,SPAC23A1.07,0,ubiquitin-protein ligase E3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-15,SPAC23C11.14,zhf1,zinc ion transporter Zhf1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-16,SPAC23C4.02,crn1,"actin binding protein, coronin Crn1",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-17,SPAC23D3.01,0,PWWP domain protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P04-18,SPAC23D3.03c,0,GTPase activating protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P04-19,SPAC23D3.09,arp42,SWI/SNF and RSC complex subunit Arp42,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
